"","year","seas","fleet","catch","catch_se"
"1",2023,1,1,0,0.1
"2",2023,2,1,0,0.1
"3",2023,3,1,0,0.1
"4",2023,4,1,0,0.1
"5",2023,1,2,46.6882,0.1
"6",2023,2,2,111.207,0.1
"7",2023,3,2,362.211522498789,0.1
"8",2023,4,2,562.304461983234,0.1
"9",2023,1,3,17.41,0.1
"10",2023,2,3,4.49,0.1
"11",2023,3,3,25.9655417019071,0.1
"12",2023,4,3,1393.63299047827,0.1
"13",2023,1,4,0.8,0.1
"14",2023,2,4,0,0.1
"15",2023,3,4,0,0.1
"16",2023,4,4,525.118680599132,0.1
"17",2023,1,5,0,0.1
"18",2023,2,5,0,0.1
"19",2023,3,5,0,0.1
"20",2023,4,5,763.828000749238,0.1
"21",2023,1,6,1305.55,0.1
"22",2023,2,6,0,0.1
"23",2023,3,6,0,0.1
"24",2023,4,6,0,0.1
"25",2023,1,7,176.773,0.1
"26",2023,2,7,0,0.1
"27",2023,3,7,0,0.1
"28",2023,4,7,890.718209807082,0.1
"29",2023,1,8,68.5087,0.1
"30",2023,2,8,0,0.1
"31",2023,3,8,59.8000813017812,0.1
"32",2023,4,8,40.4043304563349,0.1
"33",2023,1,9,0,0.1
"34",2023,2,9,256.966,0.1
"35",2023,3,9,0,0.1
"36",2023,4,9,0,0.1
"37",2023,1,10,6.06167,0.1
"38",2023,2,10,0,0.1
"39",2023,3,10,0,0.1
"40",2023,4,10,542.368647317246,0.1
"41",2023,1,11,127.304,0.1
"42",2023,2,11,16.621,0.1
"43",2023,3,11,460.650285373178,0.1
"44",2023,4,11,123.411047018048,0.1
"45",2023,1,12,0,0.1
"46",2023,2,12,272.657,0.1
"47",2023,3,12,435.836360850816,0.1
"48",2023,4,12,250.966394830475,0.1
"49",2023,1,13,45.4624,0.1
"50",2023,2,13,0,0.1
"51",2023,3,13,0,0.1
"52",2023,4,13,0,0.1
"53",2023,1,14,47.2605,0.1
"54",2023,2,14,0,0.1
"55",2023,3,14,0,0.1
"56",2023,4,14,0,0.1
"57",2023,1,15,8.6351,0.1
"58",2023,2,15,3.6929,0.1
"59",2023,3,15,33.4643932108318,0.1
"60",2023,4,15,33.446702399568,0.1
"61",2023,1,16,189.129,0.1
"62",2023,2,16,162.001,0.1
"63",2023,3,16,756.591523646822,0.1
"64",2023,4,16,0,0.1
"65",2023,1,17,0,0.1
