"","Fleet","Seas","catch","cratio"
"1",1,1,0,0
"2",1,2,0,0
"3",1,3,0,0
"4",1,4,0,0
"5",2,1,123.668,0.00959882458758741
"6",2,2,0,0
"7",2,3,8.4092,0.000652702685593201
"8",2,4,152.466,0.0118340588476494
"9",3,1,0,0
"10",3,2,5.1,0.000395850223151468
"11",3,3,542.2,0.0420843119593581
"12",3,4,16.2,0.00125740659118702
"13",4,1,1536.19,0.119235520451579
"14",4,2,0,0
"15",4,3,0,0
"16",4,4,0,0
"17",5,1,0,0
"18",5,2,0,0
"19",5,3,0,0
"20",5,4,1566.64,0.121598979136866
"21",6,1,0,0
"22",6,2,195.822,0.0151992514505817
"23",6,3,375.301,0.02912999698019
"24",6,4,51.1374,0.00396916690223253
"25",7,1,4.77049,0.000370274417851343
"26",7,2,7.60735,0.000590464940213985
"27",7,3,35.8616,0.00278349458089582
"28",7,4,12.2664,0.000952089642601014
"29",8,1,98.0215,0.00760820248012581
"30",8,2,110.485,0.00857559056958627
"31",8,3,312.449,0.0242515698771477
"32",8,4,0,0
"33",9,1,0,0
"34",9,2,0,0
"35",9,3,0,0
"36",9,4,232.874,0.0180751421306225
"37",10,1,37.3895,0.00290208665069055
"38",10,2,7.0701,0.000548764835824156
"39",10,3,0.88021,6.83198676314027e-05
"40",10,4,51.7678,0.00401809709452168
"41",11,1,0,0
"42",11,2,532.634,0.0413418211290312
"43",11,3,0,0
"44",11,4,0,0
"45",12,1,37.8,0.00293394871276971
"46",12,2,0,0
"47",12,3,0,0
"48",12,4,283.6,0.0220123771148542
"49",13,1,0,0
"50",13,2,0,0
"51",13,3,0,0
"52",13,4,0,0
"53",14,1,39.796,0.00308887362363448
"54",14,2,17.262,0.0013398365788315
"55",14,3,2007.1,0.155786467232806
"56",14,4,6.914,0.000536648714288088
"57",15,1,311.981,0.0242152447978467
"58",15,2,238.602,0.0185197362636052
"59",15,3,0.770053,5.97697356644034e-05
"60",15,4,270.79,0.0210180944955267
"61",16,1,74.3244,0.00576888829913706
"62",16,2,0,0
"63",16,3,0,0
"64",16,4,0,0
"65",17,1,0,0
"66",17,2,0,0
"67",17,3,0,0
"68",17,4,193.9,0.0150500702488372
"69",18,1,0,0
"70",18,2,94.9208,0.0073675333062188
"71",18,3,0,0
"72",18,4,0,0
"73",19,1,41.8081,0.00324504817932135
"74",19,2,0,0
"75",19,3,0,0
"76",19,4,0,0
"77",20,1,2.05497,0.000159502026092073
"78",20,2,0,0
"79",20,3,0,0
"80",20,4,771.723,0.0598993572080628
"81",26,1,0,0
"82",26,2,183.342,0.0142305826692228
"83",26,3,115.778,0.00898642100706484
"84",26,4,0.81,6.28703295593508e-05
"85",27,1,1306.94,0.101441664832467
"86",27,2,0,0
"87",27,3,0,0
"88",27,4,169.721,0.0131733521026452
"89",28,1,10.6784,0.00082883274958836
"90",28,2,36.86,0.00286098808340453
"91",28,3,195.386,0.0151654101373868
"92",28,4,428.967,0.0332954279754149
"93",29,1,0,0
"94",29,2,0,0
"95",29,3,0,0
"96",29,4,0,0
"97",30,1,18.7293,0.0014537250165629
"98",30,2,3.67952,0.000285595845703979
"99",30,3,0.00308021,2.39078787422232e-07
"100",30,4,2.20962,0.00017150560197646
