"","Fleet","Seas","catch","cratio"
"1",13,1,0,0
"2",13,2,0,0
"3",13,3,0,0
"4",13,4,0,0
"5",14,1,39.796,0.0136388721580178
"6",14,2,17.262,0.00591602701758226
"7",14,3,2007.1,0.687872658266096
"8",14,4,6.914,0.00236956382803637
"9",15,1,311.981,0.106922026704457
"10",15,2,238.602,0.0817735997247806
"11",15,3,0.770053,0.000263912313345515
"12",15,4,270.79,0.0928050606008053
"13",29,1,0,0
"14",29,2,0,0
"15",29,3,0,0
"16",29,4,0,0
"17",30,1,18.7293,0.00641889959566698
"18",30,2,3.67952,0.00126104389594104
"19",30,3,0.00308021,1.05564856794271e-06
"20",30,4,2.20962,0.00075728024670317
