"","Fleet","Seas","catch","cratio"
"1",3,1,0,0
"2",3,2,5.1,0.00295473072695918
"3",3,3,542.2,0.314128431403386
"4",3,4,16.2,0.00938561525034092
"5",9,1,0,0
"6",9,2,0,0
"7",9,3,0,0
"8",9,4,232.874,0.134917639864685
"9",10,1,37.3895,0.0216619420618902
"10",10,2,7.0701,0.00409612582601453
"11",10,3,0.88021,0.000509957555524851
"12",10,4,51.7678,0.0299921390837407
"13",11,1,0,0
"14",11,2,532.634,0.308586283533956
"15",11,3,0,0
"16",11,4,0,0
"17",26,1,0,0
"18",26,2,183.342,0.106220831557284
"19",26,3,115.778,0.0670770223737019
"20",26,4,0.81,0.000469280762517046
